carrier_1,carrier_2,region_2,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,length
gas,hydrogen,DE27,DE25,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE23,DE22,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE22,DE21,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE71,DE26,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE73,DE72,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE71,DE72,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE72,DEB1,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE71,DEB1,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE94,DEA3,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA3,DEA4,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA1,DEA3,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA3,DEA1,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA2,DEA5,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE25,DE11,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEB3,DEC0_,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE72,DEA5,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA5,DEA3,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEB1,DEA2,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEB1,DE71,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEA3,DE94,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DED2,DE40,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE40,DED2,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DED2,DED4,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DED4,DED2,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DED5,DED4,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DED4,DED5,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DED5,DE40,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEE0,DED5,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DED5,DEG0,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DED5,DEE0,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEG0,DEE0,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEG0,DED5,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DEE0,DE40,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE40,DE80,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE80,DE40,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE14,DE27,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
gas,hydrogen,DE27,DE14,capaExcResiDir,0,costExpExc,1,costOprExc,0,lossExc,0.005,
