carrier_1,carrier_2,region_2,region_2,parameter,value,comment
hydrogen,hydrogen,DEB1, DEB2,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DEB1, DEB3,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE40, DED2,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DEB1, DEC0_,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DEB2, DEC0_,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DEB3, DEC0_,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE24, DED4,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE40, DED5,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DED2, DED4,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE40, DEE0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE91, DEE0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE93, DEE0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DED2, DED5,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DED4, DED5,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE60, DEF0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE80, DEF0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE93, DEF0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DED5, DEE0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE24, DEG0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE26, DEG0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE73, DEG0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DE91, DEG0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DED4, DEG0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DED5, DEG0,costExpExc,1000,specifies costs for expansion of the pipeline
hydrogen,hydrogen,DEE0, DEG0,costExpExc,1000,specifies costs for expansion of the pipeline
