region_1,region_2,carrier_1,parameter,timestep_2,value
ES,ES,electricity,dem,d009,31.05952263
FI,FI,electricity,dem,d009,2.528611126
FR,FR,electricity,dem,d009,70.34091491
GR,GR,electricity,dem,d009,7.829271751
HR,HR,electricity,dem,d009,2.275407604
HU,HU,electricity,dem,d009,3.691515708
IE,IE,electricity,dem,d009,2.908803427
IT,IT,electricity,dem,d009,15.52745314
LU,LU,electricity,dem,d009,0.849864293
NL,NL,electricity,dem,d009,8.522980513
NO,NO,electricity,dem,d009,13.61009113
PL,PL,electricity,dem,d009,18.09368558
PT,PT,electricity,dem,d009,5.538809028
RO,RO,electricity,dem,d009,6.571157709
SE,SE,electricity,dem,d009,15.11059611
SI,SI,electricity,dem,d009,1.009187969
SK,SK,electricity,dem,d009,2.240545934
UK,UK,electricity,dem,d009,36.81102135
EE,EE,electricity,dem,d009,0.904395983
LT,LT,electricity,dem,d009,0.555369389
LV,LV,electricity,dem,d009,0.785137823
NONEU_Balkan,NONEU_Balkan,electricity,dem,d009,6.057072024
TR,TR,electricity,dem,d009,32.03999841
AT,AT,electricity,dem,d010,4.964734952
BE,BE,electricity,dem,d010,5.810440995
BG,BG,electricity,dem,d010,4.827203577
CH,CH,electricity,dem,d010,10.71444303
CZ,CZ,electricity,dem,d010,5.723514256
DK,DK,electricity,dem,d010,5.030860679
ES,ES,electricity,dem,d010,30.70279692
FI,FI,electricity,dem,d010,2.577705387
FR,FR,electricity,dem,d010,68.98498823
GR,GR,electricity,dem,d010,7.688528647
HR,HR,electricity,dem,d010,2.291030548
HU,HU,electricity,dem,d010,3.690690085
IE,IE,electricity,dem,d010,2.909426438
IT,IT,electricity,dem,d010,15.59781113
LU,LU,electricity,dem,d010,0.795961695
NL,NL,electricity,dem,d010,8.4535206
NO,NO,electricity,dem,d010,13.96567614
PL,PL,electricity,dem,d010,18.09633556
PT,PT,electricity,dem,d010,5.439444074
RO,RO,electricity,dem,d010,6.646101783
SE,SE,electricity,dem,d010,15.80094917
SI,SI,electricity,dem,d010,1.015995479
SK,SK,electricity,dem,d010,2.241668107
UK,UK,electricity,dem,d010,38.52578646
EE,EE,electricity,dem,d010,0.907814396
LT,LT,electricity,dem,d010,0.566056547
LV,LV,electricity,dem,d010,0.795211151
NONEU_Balkan,NONEU_Balkan,electricity,dem,d010,6.122330488
TR,TR,electricity,dem,d010,31.46403056
AT,AT,electricity,dem,d011,4.960285003
BE,BE,electricity,dem,d011,5.913903513
BG,BG,electricity,dem,d011,4.740706773
CH,CH,electricity,dem,d011,10.74984821
CZ,CZ,electricity,dem,d011,5.740183079
DK,DK,electricity,dem,d011,4.752394566
ES,ES,electricity,dem,d011,30.14821137
FI,FI,electricity,dem,d011,2.687223355
FR,FR,electricity,dem,d011,67.5265297
GR,GR,electricity,dem,d011,7.320670915
HR,HR,electricity,dem,d011,2.223432949
HU,HU,electricity,dem,d011,3.584949115
IE,IE,electricity,dem,d011,2.90085087
IT,IT,electricity,dem,d011,15.58142193
LU,LU,electricity,dem,d011,0.87344668
NL,NL,electricity,dem,d011,8.496053002
NO,NO,electricity,dem,d011,14.50804118
PL,PL,electricity,dem,d011,18.03767997
PT,PT,electricity,dem,d011,5.402722243
RO,RO,electricity,dem,d011,6.468804422
SE,SE,electricity,dem,d011,15.94799611
SI,SI,electricity,dem,d011,0.996614396
SK,SK,electricity,dem,d011,2.246513854
UK,UK,electricity,dem,d011,38.05909128
EE,EE,electricity,dem,d011,0.926615667
LT,LT,electricity,dem,d011,0.562114832
LV,LV,electricity,dem,d011,0.799803853
NONEU_Balkan,NONEU_Balkan,electricity,dem,d011,5.983467515
TR,TR,electricity,dem,d011,29.9586337
AT,AT,electricity,dem,d012,4.446088907
BE,BE,electricity,dem,d012,5.367733436
BG,BG,electricity,dem,d012,4.49661351
CH,CH,electricity,dem,d012,9.737041187
CZ,CZ,electricity,dem,d012,5.136908704
DK,DK,electricity,dem,d012,4.192040113
ES,ES,electricity,dem,d012,26.97140881
FI,FI,electricity,dem,d012,2.578869497
FR,FR,electricity,dem,d012,63.48119987
GR,GR,electricity,dem,d012,6.906559582
HR,HR,electricity,dem,d012,2.138117711
