region_1,region_2,carrier_1,parameter,timestep_2,value
BG,BG,electricity,dem,d201,2.953488996
CH,CH,electricity,dem,d201,6.298637198
CZ,CZ,electricity,dem,d201,3.583625609
DK,DK,electricity,dem,d201,3.188343232
ES,ES,electricity,dem,d201,25.62479005
FI,FI,electricity,dem,d201,1.66213774
FR,FR,electricity,dem,d201,41.45379722
GR,GR,electricity,dem,d201,6.320649154
HR,HR,electricity,dem,d201,2.015752529
HU,HU,electricity,dem,d201,3.072573266
IE,IE,electricity,dem,d201,2.233459105
IT,IT,electricity,dem,d201,14.27223928
LU,LU,electricity,dem,d201,0.730290364
NL,NL,electricity,dem,d201,6.493812342
NO,NO,electricity,dem,d201,7.550716556
PL,PL,electricity,dem,d201,14.07362244
PT,PT,electricity,dem,d201,4.497783566
RO,RO,electricity,dem,d201,4.629665355
SE,SE,electricity,dem,d201,8.144104349
SI,SI,electricity,dem,d201,0.773490633
SK,SK,electricity,dem,d201,1.678439272
UK,UK,electricity,dem,d201,25.94833605
EE,EE,electricity,dem,d201,0.514825898
LT,LT,electricity,dem,d201,0.394022987
LV,LV,electricity,dem,d201,0.465546956
NONEU_Balkan,NONEU_Balkan,electricity,dem,d201,4.475400036
TR,TR,electricity,dem,d201,25.86621021
AT,AT,electricity,dem,d202,3.224237471
BE,BE,electricity,dem,d202,4.041864225
BG,BG,electricity,dem,d202,2.855184122
CH,CH,electricity,dem,d202,6.091537367
CZ,CZ,electricity,dem,d202,3.556025007
DK,DK,electricity,dem,d202,3.142916689
ES,ES,electricity,dem,d202,23.1387551
FI,FI,electricity,dem,d202,1.614198422
FR,FR,electricity,dem,d202,38.78399279
GR,GR,electricity,dem,d202,5.985168944
HR,HR,electricity,dem,d202,1.889197955
HU,HU,electricity,dem,d202,2.850297064
IE,IE,electricity,dem,d202,2.079245467
IT,IT,electricity,dem,d202,12.49598895
LU,LU,electricity,dem,d202,0.655186077
NL,NL,electricity,dem,d202,6.134754673
NO,NO,electricity,dem,d202,7.417769137
PL,PL,electricity,dem,d202,12.68542709
PT,PT,electricity,dem,d202,4.140780005
RO,RO,electricity,dem,d202,4.225619045
SE,SE,electricity,dem,d202,8.014375702
SI,SI,electricity,dem,d202,0.765209855
SK,SK,electricity,dem,d202,1.62069837
UK,UK,electricity,dem,d202,24.74942407
EE,EE,electricity,dem,d202,0.510085268
LT,LT,electricity,dem,d202,0.380944412
LV,LV,electricity,dem,d202,0.453912109
NONEU_Balkan,NONEU_Balkan,electricity,dem,d202,4.380912413
TR,TR,electricity,dem,d202,24.49331299
AT,AT,electricity,dem,d203,4.120084767
BE,BE,electricity,dem,d203,4.588865677
BG,BG,electricity,dem,d203,3.09041236
CH,CH,electricity,dem,d203,7.283899264
CZ,CZ,electricity,dem,d203,4.314827489
DK,DK,electricity,dem,d203,3.699802035
ES,ES,electricity,dem,d203,28.43861203
FI,FI,electricity,dem,d203,1.789942312
FR,FR,electricity,dem,d203,47.12702622
GR,GR,electricity,dem,d203,6.400507414
HR,HR,electricity,dem,d203,2.135804816
HU,HU,electricity,dem,d203,3.290843666
IE,IE,electricity,dem,d203,2.421975015
IT,IT,electricity,dem,d203,16.04746427
LU,LU,electricity,dem,d203,0.757601013
NL,NL,electricity,dem,d203,7.566678883
NO,NO,electricity,dem,d203,7.866004195
PL,PL,electricity,dem,d203,15.12791999
PT,PT,electricity,dem,d203,5.001125272
RO,RO,electricity,dem,d203,5.028651503
SE,SE,electricity,dem,d203,8.69581586
SI,SI,electricity,dem,d203,0.829296975
SK,SK,electricity,dem,d203,1.79693054
UK,UK,electricity,dem,d203,29.76685526
EE,EE,electricity,dem,d203,0.579485502
LT,LT,electricity,dem,d203,0.430553936
LV,LV,electricity,dem,d203,0.520353207
NONEU_Balkan,NONEU_Balkan,electricity,dem,d203,4.550547425
TR,TR,electricity,dem,d203,26.19301691
AT,AT,electricity,dem,d204,4.273267435
BE,BE,electricity,dem,d204,4.725648858
BG,BG,electricity,dem,d204,3.206590847
CH,CH,electricity,dem,d204,7.110017426
CZ,CZ,electricity,dem,d204,4.470726649
DK,DK,electricity,dem,d204,3.703036743
ES,ES,electricity,dem,d204,29.3073664
FI,FI,electricity,dem,d204,1.75085756
FR,FR,electricity,dem,d204,47.94414854
GR,GR,electricity,dem,d204,6.502029352
HR,HR,electricity,dem,d204,2.181146266
HU,HU,electricity,dem,d204,3.413311156
IE,IE,electricity,dem,d204,2.468041208
IT,IT,electricity,dem,d204,17.01581024
LU,LU,electricity,dem,d204,0.783564098
NL,NL,electricity,dem,d204,7.693042215
NO,NO,electricity,dem,d204,7.864215941
PL,PL,electricity,dem,d204,15.53700611
PT,PT,electricity,dem,d204,5.115720815
RO,RO,electricity,dem,d204,5.101027161
SE,SE,electricity,dem,d204,8.759823784
SI,SI,electricity,dem,d204,0.86892278
SK,SK,electricity,dem,d204,1.848729026
UK,UK,electricity,dem,d204,30.74856392
EE,EE,electricity,dem,d204,0.584129384
LT,LT,electricity,dem,d204,0.445545644
LV,LV,electricity,dem,d204,0.541847056
NONEU_Balkan,NONEU_Balkan,electricity,dem,d204,4.60458035
TR,TR,electricity,dem,d204,26.60847863
AT,AT,electricity,dem,d205,4.302033174
BE,BE,electricity,dem,d205,4.651328246
BG,BG,electricity,dem,d205,3.293769576
CH,CH,electricity,dem,d205,7.004963815
CZ,CZ,electricity,dem,d205,4.468985556
DK,DK,electricity,dem,d205,3.680956349
ES,ES,electricity,dem,d205,29.50194046
FI,FI,electricity,dem,d205,1.702404934
FR,FR,electricity,dem,d205,47.68619235
GR,GR,electricity,dem,d205,6.749580519
HR,HR,electricity,dem,d205,2.196158256
HU,HU,electricity,dem,d205,3.417439274
IE,IE,electricity,dem,d205,2.452465924
IT,IT,electricity,dem,d205,17.20484749
LU,LU,electricity,dem,d205,0.729975932
NL,NL,electricity,dem,d205,7.63809848
NO,NO,electricity,dem,d205,7.748750245
PL,PL,electricity,dem,d205,15.63113982
PT,PT,electricity,dem,d205,5.232879199
RO,RO,electricity,dem,d205,5.136831644
SE,SE,electricity,dem,d205,8.85225148
SI,SI,electricity,dem,d205,0.87506986
SK,SK,electricity,dem,d205,1.831743408
UK,UK,electricity,dem,d205,30.03043041
EE,EE,electricity,dem,d205,0.588031534
LT,LT,electricity,dem,d205,0.449982134
LV,LV,electricity,dem,d205,0.547786951
NONEU_Balkan,NONEU_Balkan,electricity,dem,d205,4.686513353
TR,TR,electricity,dem,d205,27.6215408
AT,AT,electricity,dem,d206,4.31681336
BE,BE,electricity,dem,d206,4.661064093
BG,BG,electricity,dem,d206,3.349507972
CH,CH,electricity,dem,d206,7.042214445
CZ,CZ,electricity,dem,d206,4.492418952
DK,DK,electricity,dem,d206,3.786389057
ES,ES,electricity,dem,d206,29.04470132
FI,FI,electricity,dem,d206,1.730646051
FR,FR,electricity,dem,d206,48.09591819
GR,GR,electricity,dem,d206,7.168647596
HR,HR,electricity,dem,d206,2.202180509
HU,HU,electricity,dem,d206,3.371051463
IE,IE,electricity,dem,d206,2.461921038
IT,IT,electricity,dem,d206,17.44380099
LU,LU,electricity,dem,d206,0.726337506
NL,NL,electricity,dem,d206,7.583880554
NO,NO,electricity,dem,d206,7.766540287
PL,PL,electricity,dem,d206,15.77787766
PT,PT,electricity,dem,d206,5.237748594
RO,RO,electricity,dem,d206,5.223621098
SE,SE,electricity,dem,d206,8.794111478
SI,SI,electricity,dem,d206,0.895416186
SK,SK,electricity,dem,d206,1.836461635
UK,UK,electricity,dem,d206,29.93455715
EE,EE,electricity,dem,d206,0.592481921
LT,LT,electricity,dem,d206,0.452456014
LV,LV,electricity,dem,d206,0.553145104
NONEU_Balkan,NONEU_Balkan,electricity,dem,d206,4.699315253
TR,TR,electricity,dem,d206,29.33650343
AT,AT,electricity,dem,d207,4.182315936
BE,BE,electricity,dem,d207,4.607002794
BG,BG,electricity,dem,d207,3.355322281
CH,CH,electricity,dem,d207,6.945294458
CZ,CZ,electricity,dem,d207,4.401653788
DK,DK,electricity,dem,d207,3.70106779
ES,ES,electricity,dem,d207,28.86647702
FI,FI,electricity,dem,d207,1.77807206
FR,FR,electricity,dem,d207,46.94585848
GR,GR,electricity,dem,d207,7.360033675
HR,HR,electricity,dem,d207,2.265195959
HU,HU,electricity,dem,d207,3.411659909
IE,IE,electricity,dem,d207,2.414278992
IT,IT,electricity,dem,d207,17.60668388
LU,LU,electricity,dem,d207,0.793221647
NL,NL,electricity,dem,d207,7.553711097
NO,NO,electricity,dem,d207,7.73373508
PL,PL,electricity,dem,d207,15.8545294
PT,PT,electricity,dem,d207,5.130914793
RO,RO,electricity,dem,d207,5.224119447
SE,SE,electricity,dem,d207,8.682367218
SI,SI,electricity,dem,d207,0.892368047
SK,SK,electricity,dem,d207,1.8284534
UK,UK,electricity,dem,d207,29.04139386
EE,EE,electricity,dem,d207,0.586128833
LT,LT,electricity,dem,d207,0.450311985
LV,LV,electricity,dem,d207,0.549532178
NONEU_Balkan,NONEU_Balkan,electricity,dem,d207,4.753677855
TR,TR,electricity,dem,d207,30.11971928
AT,AT,electricity,dem,d208,3.647413956
BE,BE,electricity,dem,d208,4.097478883
BG,BG,electricity,dem,d208,3.142095097
CH,CH,electricity,dem,d208,6.245529419
CZ,CZ,electricity,dem,d208,3.859003693
DK,DK,electricity,dem,d208,3.31693457
ES,ES,electricity,dem,d208,25.33338422
FI,FI,electricity,dem,d208,1.656372189
FR,FR,electricity,dem,d208,40.83703975
GR,GR,electricity,dem,d208,6.99996354
HR,HR,electricity,dem,d208,2.188870459
HU,HU,electricity,dem,d208,3.147460379
IE,IE,electricity,dem,d208,2.185487229
IT,IT,electricity,dem,d208,15.45945507
LU,LU,electricity,dem,d208,0.674950363
NL,NL,electricity,dem,d208,6.719127622
NO,NO,electricity,dem,d208,7.29567457
PL,PL,electricity,dem,d208,14.41222694
PT,PT,electricity,dem,d208,4.464759547
RO,RO,electricity,dem,d208,4.6943741
SE,SE,electricity,dem,d208,7.972634162
SI,SI,electricity,dem,d208,0.796453279
SK,SK,electricity,dem,d208,1.681015169
UK,UK,electricity,dem,d208,25.94658041
EE,EE,electricity,dem,d208,0.523339681
LT,LT,electricity,dem,d208,0.407777755
LV,LV,electricity,dem,d208,0.485816084
NONEU_Balkan,NONEU_Balkan,electricity,dem,d208,4.707117577
TR,TR,electricity,dem,d208,28.64619186
AT,AT,electricity,dem,d209,3.345543977
BE,BE,electricity,dem,d209,3.773264239
BG,BG,electricity,dem,d209,3.078783744
CH,CH,electricity,dem,d209,6.177658089
CZ,CZ,electricity,dem,d209,3.719716271
DK,DK,electricity,dem,d209,3.285290694
ES,ES,electricity,dem,d209,22.83768984
FI,FI,electricity,dem,d209,1.615078379
FR,FR,electricity,dem,d209,37.30163827
GR,GR,electricity,dem,d209,6.45152797
HR,HR,electricity,dem,d209,2.141652511
HU,HU,electricity,dem,d209,3.052085571
IE,IE,electricity,dem,d209,2.077816206
IT,IT,electricity,dem,d209,13.75820118
LU,LU,electricity,dem,d209,0.686090233
NL,NL,electricity,dem,d209,6.155270872
NO,NO,electricity,dem,d209,7.139264029
PL,PL,electricity,dem,d209,13.07272007
PT,PT,electricity,dem,d209,4.121375647
RO,RO,electricity,dem,d209,4.34054607
SE,SE,electricity,dem,d209,8.07451397
SI,SI,electricity,dem,d209,0.812024188
SK,SK,electricity,dem,d209,1.661581173
UK,UK,electricity,dem,d209,24.05487722
EE,EE,electricity,dem,d209,0.514922645
LT,LT,electricity,dem,d209,0.397585373
LV,LV,electricity,dem,d209,0.472497246
NONEU_Balkan,NONEU_Balkan,electricity,dem,d209,4.654163499
TR,TR,electricity,dem,d209,26.40181009
AT,AT,electricity,dem,d210,4.163880435
BE,BE,electricity,dem,d210,4.475929852
BG,BG,electricity,dem,d210,3.4370815
CH,CH,electricity,dem,d210,6.941125122
CZ,CZ,electricity,dem,d210,4.590690795
DK,DK,electricity,dem,d210,3.776028618
ES,ES,electricity,dem,d210,26.7906509
FI,FI,electricity,dem,d210,1.807064807
FR,FR,electricity,dem,d210,43.03695667
GR,GR,electricity,dem,d210,7.511254636
HR,HR,electricity,dem,d210,2.373421939
HU,HU,electricity,dem,d210,3.521009159
IE,IE,electricity,dem,d210,2.334533537
IT,IT,electricity,dem,d210,16.46363918
LU,LU,electricity,dem,d210,0.765596565
NL,NL,electricity,dem,d210,7.21572608
NO,NO,electricity,dem,d210,7.866929154
PL,PL,electricity,dem,d210,15.80951925
PT,PT,electricity,dem,d210,4.823007917
RO,RO,electricity,dem,d210,5.318805821
SE,SE,electricity,dem,d210,8.929708047
SI,SI,electricity,dem,d210,0.850405336
SK,SK,electricity,dem,d210,1.842021492
UK,UK,electricity,dem,d210,28.13391829
EE,EE,electricity,dem,d210,0.603156399
LT,LT,electricity,dem,d210,0.459366383
LV,LV,electricity,dem,d210,0.566617032
NONEU_Balkan,NONEU_Balkan,electricity,dem,d210,4.873754494
TR,TR,electricity,dem,d210,30.73856602
AT,AT,electricity,dem,d211,4.104237502
BE,BE,electricity,dem,d211,4.493629403
BG,BG,electricity,dem,d211,3.459943933
CH,CH,electricity,dem,d211,6.712085012
CZ,CZ,electricity,dem,d211,4.403594678
DK,DK,electricity,dem,d211,3.874241834
ES,ES,electricity,dem,d211,27.60707019
FI,FI,electricity,dem,d211,1.821749088
FR,FR,electricity,dem,d211,44.06846015
GR,GR,electricity,dem,d211,8.014899728
HR,HR,electricity,dem,d211,2.25350057
HU,HU,electricity,dem,d211,3.344050516
IE,IE,electricity,dem,d211,2.37898723
IT,IT,electricity,dem,d211,16.59592457
LU,LU,electricity,dem,d211,0.77157077
NL,NL,electricity,dem,d211,7.243935853
NO,NO,electricity,dem,d211,7.916013636
PL,PL,electricity,dem,d211,15.81137819
PT,PT,electricity,dem,d211,5.051613212
RO,RO,electricity,dem,d211,5.449680025
SE,SE,electricity,dem,d211,8.98908507
SI,SI,electricity,dem,d211,0.849694104
SK,SK,electricity,dem,d211,1.828427896
UK,UK,electricity,dem,d211,28.71881391
EE,EE,electricity,dem,d211,0.616668805
LT,LT,electricity,dem,d211,0.464512052
LV,LV,electricity,dem,d211,0.58719234
NONEU_Balkan,NONEU_Balkan,electricity,dem,d211,4.804733549
TR,TR,electricity,dem,d211,32.79965018
AT,AT,electricity,dem,d212,4.140041424
BE,BE,electricity,dem,d212,4.543818241
BG,BG,electricity,dem,d212,3.368565982
CH,CH,electricity,dem,d212,6.348122438
CZ,CZ,electricity,dem,d212,4.280034176
DK,DK,electricity,dem,d212,3.804062748
ES,ES,electricity,dem,d212,28.02048563
FI,FI,electricity,dem,d212,1.808247249
FR,FR,electricity,dem,d212,44.65734567
GR,GR,electricity,dem,d212,7.812516619
HR,HR,electricity,dem,d212,2.228844248
HU,HU,electricity,dem,d212,3.34982988
IE,IE,electricity,dem,d212,2.436744049
IT,IT,electricity,dem,d212,16.55958189
LU,LU,electricity,dem,d212,0.724720428
NL,NL,electricity,dem,d212,7.237960027
NO,NO,electricity,dem,d212,7.756119084
PL,PL,electricity,dem,d212,15.69901102
PT,PT,electricity,dem,d212,5.120333927
RO,RO,electricity,dem,d212,5.172061108
SE,SE,electricity,dem,d212,8.989243662
SI,SI,electricity,dem,d212,0.848322441
SK,SK,electricity,dem,d212,1.832049455
UK,UK,electricity,dem,d212,29.10078033
EE,EE,electricity,dem,d212,0.61257316
LT,LT,electricity,dem,d212,0.458987055
LV,LV,electricity,dem,d212,0.5776089
NONEU_Balkan,NONEU_Balkan,electricity,dem,d212,4.675810693
TR,TR,electricity,dem,d212,31.97143081
AT,AT,electricity,dem,d213,4.138361342
BE,BE,electricity,dem,d213,4.739804123
BG,BG,electricity,dem,d213,3.346959726
CH,CH,electricity,dem,d213,5.077978492
CZ,CZ,electricity,dem,d213,4.292735591
DK,DK,electricity,dem,d213,3.888962097
ES,ES,electricity,dem,d213,29.0262534
FI,FI,electricity,dem,d213,1.785139214
FR,FR,electricity,dem,d213,45.29173396
GR,GR,electricity,dem,d213,7.491101281
HR,HR,electricity,dem,d213,2.256991731
HU,HU,electricity,dem,d213,3.338882724
IE,IE,electricity,dem,d213,2.473355129
IT,IT,electricity,dem,d213,16.5407514
LU,LU,electricity,dem,d213,0.741115802
NL,NL,electricity,dem,d213,7.494727026
NO,NO,electricity,dem,d213,7.948171372
PL,PL,electricity,dem,d213,15.57699316
PT,PT,electricity,dem,d213,5.060107195
RO,RO,electricity,dem,d213,5.161557438
SE,SE,electricity,dem,d213,8.977888441
SI,SI,electricity,dem,d213,0.844537669
SK,SK,electricity,dem,d213,1.826515102
UK,UK,electricity,dem,d213,29.4246961
EE,EE,electricity,dem,d213,0.610509212
LT,LT,electricity,dem,d213,0.452093178
LV,LV,electricity,dem,d213,0.561473205
NONEU_Balkan,NONEU_Balkan,electricity,dem,d213,4.6652306
TR,TR,electricity,dem,d213,30.65609175
AT,AT,electricity,dem,d214,4.071180741
BE,BE,electricity,dem,d214,4.750721399
BG,BG,electricity,dem,d214,3.340642947
CH,CH,electricity,dem,d214,6.294057762
CZ,CZ,electricity,dem,d214,4.346138617
DK,DK,electricity,dem,d214,3.753995104
ES,ES,electricity,dem,d214,28.98401321
FI,FI,electricity,dem,d214,1.811317932
FR,FR,electricity,dem,d214,44.39597576
GR,GR,electricity,dem,d214,7.312175356
HR,HR,electricity,dem,d214,2.247827434
HU,HU,electricity,dem,d214,3.359431576
IE,IE,electricity,dem,d214,2.391997174
IT,IT,electricity,dem,d214,16.35576669
LU,LU,electricity,dem,d214,0.817253221
NL,NL,electricity,dem,d214,7.569315989
NO,NO,electricity,dem,d214,7.855860479
PL,PL,electricity,dem,d214,15.67745519
PT,PT,electricity,dem,d214,4.990654241
RO,RO,electricity,dem,d214,5.174936201
SE,SE,electricity,dem,d214,8.814284441
SI,SI,electricity,dem,d214,0.829703393
SK,SK,electricity,dem,d214,1.829958132
UK,UK,electricity,dem,d214,28.37371595
EE,EE,electricity,dem,d214,0.605284845
LT,LT,electricity,dem,d214,0.448118479
LV,LV,electricity,dem,d214,0.551736675
NONEU_Balkan,NONEU_Balkan,electricity,dem,d214,4.536300057
TR,TR,electricity,dem,d214,29.92386703
AT,AT,electricity,dem,d215,3.567451105
BE,BE,electricity,dem,d215,4.164820315
BG,BG,electricity,dem,d215,3.172243361
CH,CH,electricity,dem,d215,6.16186929
CZ,CZ,electricity,dem,d215,3.78056889
DK,DK,electricity,dem,d215,3.386363579
ES,ES,electricity,dem,d215,25.05318174
FI,FI,electricity,dem,d215,1.679856039
FR,FR,electricity,dem,d215,38.95765036
GR,GR,electricity,dem,d215,6.831232287
HR,HR,electricity,dem,d215,2.157537292
HU,HU,electricity,dem,d215,3.118013139
IE,IE,electricity,dem,d215,2.17192757
IT,IT,electricity,dem,d215,14.34515249
LU,LU,electricity,dem,d215,0.712502506
NL,NL,electricity,dem,d215,6.529618915
NO,NO,electricity,dem,d215,7.441509748
PL,PL,electricity,dem,d215,14.15209357
PT,PT,electricity,dem,d215,4.338265105
RO,RO,electricity,dem,d215,4.758124481
SE,SE,electricity,dem,d215,8.193490047
SI,SI,electricity,dem,d215,0.741662983
SK,SK,electricity,dem,d215,1.704657314
UK,UK,electricity,dem,d215,24.3732589
EE,EE,electricity,dem,d215,0.536174854
LT,LT,electricity,dem,d215,0.40891574
LV,LV,electricity,dem,d215,0.493041936
NONEU_Balkan,NONEU_Balkan,electricity,dem,d215,4.597233904
TR,TR,electricity,dem,d215,27.95568714
AT,AT,electricity,dem,d216,3.269372663
BE,BE,electricity,dem,d216,3.971066021
BG,BG,electricity,dem,d216,3.100605344
CH,CH,electricity,dem,d216,6.089828622
CZ,CZ,electricity,dem,d216,3.65132843
DK,DK,electricity,dem,d216,3.228988033
ES,ES,electricity,dem,d216,23.16393294
FI,FI,electricity,dem,d216,1.617314936
FR,FR,electricity,dem,d216,36.45885285
GR,GR,electricity,dem,d216,6.435056023
HR,HR,electricity,dem,d216,2.088674148
HU,HU,electricity,dem,d216,2.961266983
IE,IE,electricity,dem,d216,2.054728138
IT,IT,electricity,dem,d216,12.94808338
LU,LU,electricity,dem,d216,0.636679519
NL,NL,electricity,dem,d216,6.071681878
NO,NO,electricity,dem,d216,7.245634296
PL,PL,electricity,dem,d216,12.70840679
PT,PT,electricity,dem,d216,4.043941278
RO,RO,electricity,dem,d216,4.342577802
SE,SE,electricity,dem,d216,8.152826935
SI,SI,electricity,dem,d216,0.769426448
SK,SK,electricity,dem,d216,1.670227006
UK,UK,electricity,dem,d216,24.17338299
EE,EE,electricity,dem,d216,0.520759746
LT,LT,electricity,dem,d216,0.401263207
LV,LV,electricity,dem,d216,0.487775637
NONEU_Balkan,NONEU_Balkan,electricity,dem,d216,4.583214612
TR,TR,electricity,dem,d216,26.33440138
AT,AT,electricity,dem,d217,4.0632117
BE,BE,electricity,dem,d217,4.727661662
BG,BG,electricity,dem,d217,3.335151656
CH,CH,electricity,dem,d217,7.425451657
CZ,CZ,electricity,dem,d217,4.458453372
DK,DK,electricity,dem,d217,4.058667034
ES,ES,electricity,dem,d217,27.50398355
FI,FI,electricity,dem,d217,1.816918491
FR,FR,electricity,dem,d217,41.99224011
GR,GR,electricity,dem,d217,6.995432575
HR,HR,electricity,dem,d217,2.115905201
HU,HU,electricity,dem,d217,3.406797904
IE,IE,electricity,dem,d217,2.045969331
IT,IT,electricity,dem,d217,15.41134537
LU,LU,electricity,dem,d217,0.76887564
NL,NL,electricity,dem,d217,7.371121768
NO,NO,electricity,dem,d217,8.038077372
PL,PL,electricity,dem,d217,15.33339252
PT,PT,electricity,dem,d217,4.75589813
RO,RO,electricity,dem,d217,5.110380794
SE,SE,electricity,dem,d217,9.521860639
SI,SI,electricity,dem,d217,0.841083112
SK,SK,electricity,dem,d217,1.833299148
UK,UK,electricity,dem,d217,28.66751866
EE,EE,electricity,dem,d217,0.602640412
LT,LT,electricity,dem,d217,0.461543396
LV,LV,electricity,dem,d217,0.566831358
NONEU_Balkan,NONEU_Balkan,electricity,dem,d217,4.885393346
TR,TR,electricity,dem,d217,28.62764964
AT,AT,electricity,dem,d218,4.205859796
BE,BE,electricity,dem,d218,4.767086373
BG,BG,electricity,dem,d218,3.366843224
CH,CH,electricity,dem,d218,7.462428887
CZ,CZ,electricity,dem,d218,4.510086763
DK,DK,electricity,dem,d218,4.216792657
ES,ES,electricity,dem,d218,27.98406485
FI,FI,electricity,dem,d218,1.808650562
FR,FR,electricity,dem,d218,42.08926987
GR,GR,electricity,dem,d218,6.925957776
HR,HR,electricity,dem,d218,2.401656701
HU,HU,electricity,dem,d218,3.508900014
IE,IE,electricity,dem,d218,2.327130696
IT,IT,electricity,dem,d218,16.00029854
LU,LU,electricity,dem,d218,0.719959032
NL,NL,electricity,dem,d218,7.265081086
NO,NO,electricity,dem,d218,8.128230028
PL,PL,electricity,dem,d218,15.93307963
PT,PT,electricity,dem,d218,4.82381338
RO,RO,electricity,dem,d218,5.155308904
SE,SE,electricity,dem,d218,9.794830013
SI,SI,electricity,dem,d218,0.883045823
SK,SK,electricity,dem,d218,1.859032615
UK,UK,electricity,dem,d218,28.53351745
EE,EE,electricity,dem,d218,0.595868085
LT,LT,electricity,dem,d218,0.473236599
LV,LV,electricity,dem,d218,0.572495691
NONEU_Balkan,NONEU_Balkan,electricity,dem,d218,4.904252844
TR,TR,electricity,dem,d218,28.34333553
AT,AT,electricity,dem,d219,4.201319032
BE,BE,electricity,dem,d219,4.899231352
BG,BG,electricity,dem,d219,3.40800996
CH,CH,electricity,dem,d219,7.25409876
CZ,CZ,electricity,dem,d219,4.326215949
DK,DK,electricity,dem,d219,4.090264031
ES,ES,electricity,dem,d219,27.45038166
FI,FI,electricity,dem,d219,1.8317036
FR,FR,electricity,dem,d219,41.13106081
GR,GR,electricity,dem,d219,6.989532881
HR,HR,electricity,dem,d219,2.44171777
HU,HU,electricity,dem,d219,3.548010107
IE,IE,electricity,dem,d219,2.399619901
IT,IT,electricity,dem,d219,15.89214937
LU,LU,electricity,dem,d219,0.710705753
NL,NL,electricity,dem,d219,7.266968189
NO,NO,electricity,dem,d219,8.095363157
PL,PL,electricity,dem,d219,16.10702923
PT,PT,electricity,dem,d219,4.793608485
RO,RO,electricity,dem,d219,5.280969606
SE,SE,electricity,dem,d219,9.905495843
SI,SI,electricity,dem,d219,0.883172829
SK,SK,electricity,dem,d219,1.894355561
UK,UK,electricity,dem,d219,28.60370492
EE,EE,electricity,dem,d219,0.604091626
LT,LT,electricity,dem,d219,0.476518612
LV,LV,electricity,dem,d219,0.586457507
NONEU_Balkan,NONEU_Balkan,electricity,dem,d219,5.02399781
TR,TR,electricity,dem,d219,28.60350612
AT,AT,electricity,dem,d220,4.241504792
BE,BE,electricity,dem,d220,4.843310397
BG,BG,electricity,dem,d220,3.407148581
CH,CH,electricity,dem,d220,7.312332772
CZ,CZ,electricity,dem,d220,4.395003384
DK,DK,electricity,dem,d220,4.274267312
ES,ES,electricity,dem,d220,26.67263965
FI,FI,electricity,dem,d220,1.846818693
FR,FR,electricity,dem,d220,40.54269739
GR,GR,electricity,dem,d220,7.070712673
HR,HR,electricity,dem,d220,2.443856106
HU,HU,electricity,dem,d220,3.583695391
IE,IE,electricity,dem,d220,2.422891208
IT,IT,electricity,dem,d220,15.40291478
LU,LU,electricity,dem,d220,0.750548756
NL,NL,electricity,dem,d220,7.167121077
NO,NO,electricity,dem,d220,8.358267293
PL,PL,electricity,dem,d220,16.17106388
PT,PT,electricity,dem,d220,4.79646422
RO,RO,electricity,dem,d220,5.405748614
SE,SE,electricity,dem,d220,9.997194014
SI,SI,electricity,dem,d220,0.884468288
SK,SK,electricity,dem,d220,1.901828213
UK,UK,electricity,dem,d220,28.59748385
EE,EE,electricity,dem,d220,0.620699953
LT,LT,electricity,dem,d220,0.482472415
LV,LV,electricity,dem,d220,0.600296851
NONEU_Balkan,NONEU_Balkan,electricity,dem,d220,4.783378362
TR,TR,electricity,dem,d220,28.93572097
AT,AT,electricity,dem,d221,4.14530871
BE,BE,electricity,dem,d221,4.812133809
BG,BG,electricity,dem,d221,3.416049497
CH,CH,electricity,dem,d221,7.230654786
CZ,CZ,electricity,dem,d221,4.249807664
DK,DK,electricity,dem,d221,3.93692015
ES,ES,electricity,dem,d221,26.52628354
FI,FI,electricity,dem,d221,1.849046084
FR,FR,electricity,dem,d221,40.22943905
GR,GR,electricity,dem,d221,7.089780484
HR,HR,electricity,dem,d221,2.369232547
HU,HU,electricity,dem,d221,3.542536529
IE,IE,electricity,dem,d221,2.380856265
IT,IT,electricity,dem,d221,14.33271818
LU,LU,electricity,dem,d221,0.725618805
NL,NL,electricity,dem,d221,7.161967833
NO,NO,electricity,dem,d221,8.253561952
PL,PL,electricity,dem,d221,15.8166386
PT,PT,electricity,dem,d221,4.919443911
RO,RO,electricity,dem,d221,5.350853517
SE,SE,electricity,dem,d221,9.711473806
SI,SI,electricity,dem,d221,0.866027048
SK,SK,electricity,dem,d221,1.884664067
UK,UK,electricity,dem,d221,27.8845791
EE,EE,electricity,dem,d221,0.608413016
LT,LT,electricity,dem,d221,0.470333914
LV,LV,electricity,dem,d221,0.5810075
NONEU_Balkan,NONEU_Balkan,electricity,dem,d221,4.769763332
TR,TR,electricity,dem,d221,29.01375284
AT,AT,electricity,dem,d222,3.455226127
BE,BE,electricity,dem,d222,4.200197538
BG,BG,electricity,dem,d222,3.118766084
CH,CH,electricity,dem,d222,6.491793673
CZ,CZ,electricity,dem,d222,3.714778417
DK,DK,electricity,dem,d222,3.462543282
ES,ES,electricity,dem,d222,24.41637231
FI,FI,electricity,dem,d222,1.668673253
FR,FR,electricity,dem,d222,36.75841618
GR,GR,electricity,dem,d222,6.625450954
HR,HR,electricity,dem,d222,2.033819286
HU,HU,electricity,dem,d222,2.961572769
